Year,Country,State,Bacteria,Antibiotic,Resistance%,Resistant_Count,Number_of_Isolates,Specimen_Type,Age_Group,Percent_Male,Lab_Method,MDR_Flag
2024,Usa,Florida,Klebsiella pneumoniae,Meropenem,48.8,81,167,CSF,60+,45,Broth Microdilution,0
2021,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,38.9,140,360,Urine,21-40,50,Disk Diffusion,0
2018,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,41.3,95,230,Sputum,0-10,45,Disk Diffusion,0
2016,India,Delhi,Pseudomonas aeruginosa,Meropenem,40.5,124,307,CSF,0-10,55,MIC (Automated),0
2022,Usa,Florida,Pseudomonas aeruginosa,Ciprofloxacin,35.3,74,211,Sputum,0-10,45,Broth Microdilution,0
2020,Uk,England,Pseudomonas aeruginosa,Meropenem,24.5,27,111,CSF,Nov-20,45,E-test,0
2022,India,Delhi,Klebsiella pneumoniae,Amikacin,35.6,36,102,Urine,21-40,55,Disk Diffusion,0
2022,Usa,New York,Staphylococcus aureus,Amikacin,37.1,46,124,CSF,0-10,45,MIC (Automated),0
2020,India,Tamil Nadu,Staphylococcus aureus,Meropenem,32.3,34,105,Urine,21-40,50,Disk Diffusion,0
2021,India,Tamil Nadu,Pseudomonas aeruginosa,Ciprofloxacin,42.3,129,304,Blood,41-60,50,MIC (Automated),0
2019,Usa,New York,Pseudomonas aeruginosa,Ciprofloxacin,31.5,113,359,Blood,21-40,45,Disk Diffusion,0
2016,Usa,California,Pseudomonas aeruginosa,Amikacin,19.8,61,309,CSF,41-60,45,Broth Microdilution,0
2020,India,Delhi,E.coli,Oxacillin,41.3,84,203,CSF,60+,55,E-test,0
2020,Uk,Scotland,Staphylococcus aureus,Oxacillin,31.3,34,109,Urine,0-10,45,E-test,0
2017,Usa,California,Klebsiella pneumoniae,Ciprofloxacin,35.7,65,182,Urine,60+,45,E-test,0
2024,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,53.6,143,267,Sputum,60+,50,Disk Diffusion,1
2022,Uk,Scotland,Pseudomonas aeruginosa,Ciprofloxacin,59.0,88,149,Blood,60+,50,E-test,1
2024,India,Maharashtra,Klebsiella pneumoniae,Ciprofloxacin,48.7,107,219,CSF,0-10,45,E-test,0
2017,Usa,Texas,E.coli,Amikacin,24.5,63,259,Urine,Nov-20,45,E-test,0
2015,India,Tamil Nadu,Pseudomonas aeruginosa,Meropenem,34.8,41,118,Blood,60+,55,MIC (Automated),0
2016,Uk,England,Staphylococcus aureus,Meropenem,21.6,37,171,CSF,60+,45,MIC (Automated),0
2018,Uk,England,E.coli,Ciprofloxacin,41.1,136,330,Blood,21-40,45,Disk Diffusion,0
2024,Usa,Florida,E.coli,Oxacillin,30.1,37,123,Urine,0-10,50,E-test,0
2020,Uk,Northern Ireland,Pseudomonas aeruginosa,Amikacin,27.8,46,165,Sputum,21-40,50,Broth Microdilution,0
2015,Usa,New York,Staphylococcus aureus,Amikacin,19.6,48,245,Blood,21-40,45,Disk Diffusion,0
2024,Usa,Texas,E.coli,Amikacin,32.0,38,120,Blood,0-10,50,MIC (Automated),0
2016,Usa,California,Klebsiella pneumoniae,Oxacillin,28.7,40,138,Wound,21-40,45,E-test,0
2015,Uk,England,E.coli,Oxacillin,30.6,78,254,Sputum,21-40,45,Broth Microdilution,0
2021,Uk,Wales,Staphylococcus aureus,Amikacin,17.5,64,367,Blood,60+,50,Broth Microdilution,0
2023,Usa,California,Pseudomonas aeruginosa,Meropenem,39.1,79,202,Sputum,Nov-20,50,E-test,0
2015,India,Tamil Nadu,E.coli,Amikacin,24.4,43,177,Urine,21-40,45,Disk Diffusion,0
2015,Uk,Wales,E.coli,Oxacillin,28.9,73,252,Sputum,21-40,45,E-test,0
2018,Usa,New York,Pseudomonas aeruginosa,Oxacillin,29.4,100,339,CSF,21-40,50,MIC (Automated),0
2017,India,Maharashtra,Pseudomonas aeruginosa,Ciprofloxacin,47.9,32,66,Sputum,41-60,50,E-test,0
2016,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,32.9,30,92,CSF,41-60,50,Broth Microdilution,0
2019,Usa,California,Staphylococcus aureus,Oxacillin,33.2,81,243,CSF,0-10,50,MIC (Automated),0
2021,India,Kerala,Pseudomonas aeruginosa,Meropenem,46.9,71,151,Urine,Nov-20,45,Disk Diffusion,0
2019,Usa,Texas,Klebsiella pneumoniae,Meropenem,33.7,45,133,Sputum,41-60,55,E-test,0
2022,Uk,England,Pseudomonas aeruginosa,Amikacin,28.6,93,325,Blood,Nov-20,55,Disk Diffusion,0
2024,India,Tamil Nadu,Pseudomonas aeruginosa,Ciprofloxacin,45.7,60,132,Blood,Nov-20,45,Broth Microdilution,0
2023,Usa,Florida,E.coli,Ciprofloxacin,30.6,53,172,Wound,21-40,55,E-test,0
2018,India,Delhi,E.coli,Ciprofloxacin,37.9,33,88,CSF,0-10,45,MIC (Automated),0
2023,Usa,Florida,E.coli,Amikacin,22.8,81,355,Blood,21-40,55,E-test,0
2017,Usa,Florida,Klebsiella pneumoniae,Meropenem,27.0,50,186,Urine,0-10,45,Broth Microdilution,0
2015,Usa,Texas,Pseudomonas aeruginosa,Amikacin,28.2,42,148,Wound,41-60,55,MIC (Automated),0
2015,Uk,Northern Ireland,E.coli,Oxacillin,26.3,56,212,Sputum,Nov-20,45,E-test,0
2021,Uk,Scotland,Klebsiella pneumoniae,Ciprofloxacin,41.2,78,190,Wound,41-60,45,E-test,0
2015,Uk,England,Staphylococcus aureus,Amikacin,19.3,27,142,CSF,60+,45,E-test,0
2020,Usa,California,Klebsiella pneumoniae,Amikacin,33.4,93,278,Wound,41-60,45,MIC (Automated),0
2020,India,Maharashtra,Klebsiella pneumoniae,Amikacin,35.8,39,109,Urine,60+,45,E-test,0
2024,Usa,New York,E.coli,Amikacin,35.0,99,284,Blood,21-40,50,Disk Diffusion,0
2023,India,Tamil Nadu,Pseudomonas aeruginosa,Oxacillin,42.0,95,227,Wound,60+,55,Disk Diffusion,0
2018,Usa,Texas,Staphylococcus aureus,Meropenem,22.4,71,319,Wound,Nov-20,50,Broth Microdilution,0
2019,India,Kerala,Pseudomonas aeruginosa,Oxacillin,45.4,84,185,Urine,Nov-20,55,E-test,0
2021,India,Kerala,E.coli,Oxacillin,35.7,74,207,CSF,0-10,55,E-test,0
2022,Uk,Scotland,Klebsiella pneumoniae,Oxacillin,33.3,102,305,CSF,60+,50,Disk Diffusion,0
2022,India,Kerala,Staphylococcus aureus,Oxacillin,34.2,37,109,CSF,41-60,55,Broth Microdilution,0
2020,India,Maharashtra,E.coli,Oxacillin,40.5,69,171,Wound,21-40,55,Disk Diffusion,0
2016,Uk,Scotland,Pseudomonas aeruginosa,Meropenem,19.2,32,168,Urine,Nov-20,50,Broth Microdilution,0
2023,Usa,California,Pseudomonas aeruginosa,Oxacillin,45.2,99,218,Urine,60+,50,Broth Microdilution,0
2015,India,Delhi,Staphylococcus aureus,Amikacin,20.3,79,389,Sputum,41-60,55,E-test,0
2021,India,Tamil Nadu,Staphylococcus aureus,Amikacin,29.3,87,297,Sputum,0-10,50,Disk Diffusion,0
2020,Usa,Texas,Staphylococcus aureus,Oxacillin,28.2,70,249,Sputum,41-60,50,MIC (Automated),0
2021,Usa,Texas,Staphylococcus aureus,Ciprofloxacin,36.3,61,167,Wound,0-10,45,Disk Diffusion,0
2021,India,Tamil Nadu,Pseudomonas aeruginosa,Oxacillin,50.6,48,94,Urine,Nov-20,50,MIC (Automated),1
2024,India,Delhi,Staphylococcus aureus,Amikacin,44.5,85,192,Blood,60+,50,MIC (Automated),0
2022,Usa,Florida,E.coli,Amikacin,39.1,105,269,Sputum,Nov-20,50,MIC (Automated),0
2022,India,Delhi,Pseudomonas aeruginosa,Oxacillin,43.2,98,226,Wound,60+,55,Disk Diffusion,0
2018,Uk,Northern Ireland,Staphylococcus aureus,Ciprofloxacin,26.1,19,71,Blood,41-60,50,Disk Diffusion,0
2023,Usa,California,E.coli,Meropenem,33.8,69,203,CSF,21-40,45,Broth Microdilution,0
2019,Uk,Northern Ireland,Staphylococcus aureus,Oxacillin,33.5,22,66,Urine,Nov-20,45,Disk Diffusion,0
2021,Usa,New York,Klebsiella pneumoniae,Ciprofloxacin,49.1,142,290,Blood,41-60,50,E-test,0
2019,Usa,Florida,Pseudomonas aeruginosa,Ciprofloxacin,35.1,53,150,Sputum,Nov-20,45,Broth Microdilution,0
2022,India,Delhi,Pseudomonas aeruginosa,Ciprofloxacin,46.4,65,141,Urine,41-60,45,MIC (Automated),0
2018,Uk,England,Klebsiella pneumoniae,Amikacin,20.3,66,327,CSF,Nov-20,50,Broth Microdilution,0
2023,India,Maharashtra,E.coli,Amikacin,38.3,106,277,CSF,41-60,50,Broth Microdilution,0
2015,India,Delhi,Klebsiella pneumoniae,Oxacillin,36.8,27,73,Blood,21-40,55,MIC (Automated),0
2023,India,Kerala,Staphylococcus aureus,Amikacin,25.3,48,189,CSF,21-40,45,Broth Microdilution,0
2016,Usa,Texas,Pseudomonas aeruginosa,Ciprofloxacin,18.1,60,331,CSF,Nov-20,45,Broth Microdilution,0
2017,Uk,Wales,Klebsiella pneumoniae,Ciprofloxacin,22.1,55,251,Urine,Nov-20,55,E-test,0
2024,Usa,New York,E.coli,Oxacillin,35.8,66,183,CSF,0-10,45,Disk Diffusion,0
2017,Uk,Scotland,Pseudomonas aeruginosa,Meropenem,32.4,70,215,Urine,Nov-20,55,MIC (Automated),0
2017,Uk,Wales,E.coli,Ciprofloxacin,33.6,57,169,CSF,21-40,50,E-test,0
2024,Usa,Texas,Pseudomonas aeruginosa,Meropenem,39.2,53,135,CSF,21-40,55,Disk Diffusion,0
2019,Usa,Florida,Pseudomonas aeruginosa,Oxacillin,32.3,82,255,CSF,60+,45,E-test,0
2015,Usa,New York,E.coli,Oxacillin,32.5,142,436,Urine,0-10,45,Broth Microdilution,0
2019,Usa,California,E.coli,Meropenem,37.9,58,152,Blood,41-60,50,E-test,0
2017,India,Tamil Nadu,Pseudomonas aeruginosa,Meropenem,20.7,65,315,Sputum,60+,45,E-test,0
2023,Uk,Northern Ireland,Pseudomonas aeruginosa,Oxacillin,40.0,99,247,Urine,Nov-20,50,E-test,0
2017,Uk,Wales,Staphylococcus aureus,Amikacin,19.9,52,261,Urine,0-10,45,MIC (Automated),0
2016,India,Delhi,Staphylococcus aureus,Meropenem,16.6,42,252,Blood,21-40,50,E-test,0
2021,India,Kerala,Pseudomonas aeruginosa,Oxacillin,46.0,97,210,Wound,60+,50,Broth Microdilution,0
2015,Uk,England,Klebsiella pneumoniae,Oxacillin,30.2,65,215,Wound,Nov-20,45,Broth Microdilution,0
2024,Usa,California,Pseudomonas aeruginosa,Oxacillin,32.9,87,265,Urine,60+,45,Disk Diffusion,0
2018,Usa,Florida,Staphylococcus aureus,Meropenem,21.1,68,321,Urine,Nov-20,45,E-test,0
2020,India,Kerala,Pseudomonas aeruginosa,Amikacin,29.2,79,271,CSF,21-40,50,E-test,0
2019,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,35.4,98,276,Wound,41-60,45,Disk Diffusion,0
2024,Uk,Wales,Klebsiella pneumoniae,Meropenem,32.6,68,209,Sputum,60+,45,Broth Microdilution,0
2020,Uk,Northern Ireland,Klebsiella pneumoniae,Meropenem,36.7,91,247,Wound,60+,55,MIC (Automated),0
2023,India,Tamil Nadu,Staphylococcus aureus,Ciprofloxacin,38.6,122,315,Urine,0-10,45,Disk Diffusion,0
2016,India,Tamil Nadu,Klebsiella pneumoniae,Ciprofloxacin,38.8,87,224,Blood,21-40,55,MIC (Automated),0
2016,Uk,Wales,Pseudomonas aeruginosa,Amikacin,24.1,38,158,Wound,0-10,50,E-test,0
2019,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,17.8,42,238,Blood,60+,55,Broth Microdilution,0
2016,India,Tamil Nadu,Pseudomonas aeruginosa,Amikacin,30.0,52,173,Sputum,21-40,45,Broth Microdilution,0
2021,Usa,Texas,Staphylococcus aureus,Oxacillin,36.5,105,287,Sputum,60+,55,Disk Diffusion,0
2019,Usa,Texas,Staphylococcus aureus,Meropenem,19.3,22,115,Urine,Nov-20,45,Broth Microdilution,0
2022,Usa,New York,Klebsiella pneumoniae,Meropenem,34.5,32,93,Blood,41-60,55,MIC (Automated),0
2015,Uk,Northern Ireland,E.coli,Meropenem,26.4,67,252,Sputum,0-10,50,Broth Microdilution,0
2016,Uk,Scotland,E.coli,Ciprofloxacin,27.2,72,266,CSF,60+,45,Disk Diffusion,0
2019,India,Maharashtra,E.coli,Ciprofloxacin,41.0,112,274,Blood,60+,55,MIC (Automated),0
2019,Usa,California,Staphylococcus aureus,Ciprofloxacin,29.8,57,192,CSF,0-10,50,Disk Diffusion,0
2015,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,27.8,93,336,Blood,Nov-20,50,E-test,0
2016,Usa,Florida,E.coli,Ciprofloxacin,28.5,96,338,Blood,60+,50,E-test,0
2022,Uk,Scotland,E.coli,Oxacillin,39.0,94,240,Wound,21-40,45,Disk Diffusion,0
2024,Uk,Northern Ireland,Klebsiella pneumoniae,Amikacin,22.7,42,187,Blood,60+,50,E-test,0
2017,Usa,Texas,Pseudomonas aeruginosa,Amikacin,30.1,28,92,Urine,21-40,45,Disk Diffusion,0
2023,Usa,California,Pseudomonas aeruginosa,Amikacin,39.0,113,290,Blood,Nov-20,50,MIC (Automated),0
2024,Usa,Texas,E.coli,Oxacillin,31.6,15,49,Blood,60+,45,E-test,0
2023,India,Delhi,E.coli,Meropenem,42.2,164,389,Urine,Nov-20,50,E-test,0
2020,Uk,Northern Ireland,Staphylococcus aureus,Meropenem,30.3,77,253,Wound,60+,45,MIC (Automated),0
2016,India,Kerala,Staphylococcus aureus,Amikacin,25.5,25,97,Blood,Nov-20,55,Broth Microdilution,0
2019,Uk,Wales,Pseudomonas aeruginosa,Meropenem,23.7,30,128,CSF,60+,55,Broth Microdilution,0
2015,Uk,Northern Ireland,Klebsiella pneumoniae,Amikacin,19.9,52,263,Sputum,41-60,45,Disk Diffusion,0
2017,Uk,England,Pseudomonas aeruginosa,Amikacin,25.8,38,146,Blood,41-60,55,E-test,0
2016,Uk,Scotland,Staphylococcus aureus,Amikacin,12.2,23,190,Sputum,0-10,50,MIC (Automated),0
2016,Usa,Florida,Pseudomonas aeruginosa,Meropenem,27.3,36,133,Blood,41-60,45,E-test,0
2023,Usa,Texas,Pseudomonas aeruginosa,Amikacin,34.6,55,159,Wound,60+,50,MIC (Automated),0
2023,India,Delhi,Pseudomonas aeruginosa,Amikacin,40.8,105,258,CSF,0-10,55,Broth Microdilution,0
2020,India,Delhi,Klebsiella pneumoniae,Amikacin,45.5,71,156,Sputum,0-10,50,E-test,0
2018,India,Delhi,E.coli,Amikacin,25.1,82,326,CSF,Nov-20,50,Broth Microdilution,0
2017,Usa,New York,Pseudomonas aeruginosa,Oxacillin,36.0,43,120,CSF,Nov-20,50,Broth Microdilution,0
2015,Uk,Wales,Staphylococcus aureus,Amikacin,22.5,38,170,Sputum,41-60,55,E-test,0
2016,Uk,England,Pseudomonas aeruginosa,Ciprofloxacin,22.3,43,192,Urine,60+,55,Disk Diffusion,0
2021,Usa,Texas,E.coli,Amikacin,18.3,34,185,Urine,21-40,55,Disk Diffusion,0
2023,Usa,New York,Staphylococcus aureus,Meropenem,37.9,88,231,Urine,41-60,55,E-test,0
2022,Uk,Northern Ireland,E.coli,Amikacin,33.7,55,163,Wound,Nov-20,45,MIC (Automated),0
2017,Uk,Northern Ireland,E.coli,Meropenem,22.5,37,163,Urine,41-60,55,MIC (Automated),0
2015,Uk,England,E.coli,Ciprofloxacin,37.2,42,114,Urine,41-60,50,Disk Diffusion,0
2015,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,29.2,44,149,Wound,60+,50,Disk Diffusion,0
2024,Usa,New York,Staphylococcus aureus,Oxacillin,33.2,81,245,Blood,Nov-20,45,MIC (Automated),0
2023,India,Delhi,E.coli,Ciprofloxacin,44.5,41,92,Blood,21-40,55,E-test,0
2024,Uk,Wales,Pseudomonas aeruginosa,Ciprofloxacin,39.1,61,157,CSF,0-10,45,Disk Diffusion,0
2023,India,Maharashtra,Pseudomonas aeruginosa,Oxacillin,46.5,103,221,Urine,41-60,55,MIC (Automated),0
2017,Uk,Scotland,E.coli,Oxacillin,32.7,66,201,Urine,41-60,45,Disk Diffusion,0
2017,Uk,England,E.coli,Meropenem,26.7,52,195,Urine,0-10,50,Disk Diffusion,0
2020,Uk,Wales,Klebsiella pneumoniae,Meropenem,22.1,64,288,Sputum,60+,55,E-test,0
2022,India,Maharashtra,E.coli,Ciprofloxacin,42.7,97,227,Wound,60+,50,Broth Microdilution,0
2017,India,Tamil Nadu,E.coli,Amikacin,36.5,101,276,Sputum,21-40,55,E-test,0
2016,India,Maharashtra,E.coli,Amikacin,33.9,79,233,Urine,21-40,55,Broth Microdilution,0
2024,Usa,California,E.coli,Ciprofloxacin,36.2,95,263,Blood,Nov-20,55,E-test,0
2015,India,Maharashtra,Staphylococcus aureus,Meropenem,23.2,42,180,Urine,Nov-20,55,MIC (Automated),0
2020,Usa,Florida,Klebsiella pneumoniae,Ciprofloxacin,38.7,43,112,Sputum,41-60,50,Broth Microdilution,0
2018,Uk,England,Klebsiella pneumoniae,Oxacillin,31.5,55,176,Urine,41-60,50,MIC (Automated),0
2017,Usa,California,E.coli,Oxacillin,25.2,68,269,CSF,41-60,55,MIC (Automated),0
2023,India,Maharashtra,Staphylococcus aureus,Amikacin,15.9,12,76,CSF,0-10,55,MIC (Automated),0
2019,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,30.7,22,72,Blood,21-40,55,Broth Microdilution,0
2022,Usa,Texas,Klebsiella pneumoniae,Meropenem,37.0,75,204,Wound,21-40,55,MIC (Automated),0
2021,Usa,Florida,E.coli,Meropenem,29.4,95,323,Sputum,21-40,45,Disk Diffusion,0
2023,India,Tamil Nadu,Pseudomonas aeruginosa,Amikacin,42.0,90,215,Wound,60+,50,MIC (Automated),0
2019,Uk,Northern Ireland,E.coli,Ciprofloxacin,37.7,69,183,Wound,60+,45,Disk Diffusion,0
2024,India,Kerala,Klebsiella pneumoniae,Meropenem,39.3,28,72,Urine,Nov-20,50,Disk Diffusion,0
2018,Usa,New York,E.coli,Ciprofloxacin,32.2,71,221,Sputum,21-40,55,E-test,0
2024,Uk,Scotland,E.coli,Meropenem,34.1,66,193,CSF,21-40,50,Broth Microdilution,0
2021,Uk,Northern Ireland,Staphylococcus aureus,Meropenem,28.5,55,194,Wound,0-10,55,E-test,0
2020,Uk,Northern Ireland,Pseudomonas aeruginosa,Oxacillin,30.1,9,30,Sputum,60+,50,E-test,0
2023,India,Kerala,Klebsiella pneumoniae,Oxacillin,38.9,87,223,Wound,41-60,50,E-test,0
2024,India,Tamil Nadu,Pseudomonas aeruginosa,Amikacin,49.4,92,187,Sputum,0-10,50,Broth Microdilution,0
2022,Uk,Wales,Klebsiella pneumoniae,Meropenem,37.5,26,68,Urine,Nov-20,45,E-test,0
2016,India,Kerala,Klebsiella pneumoniae,Amikacin,26.9,42,155,Blood,21-40,45,MIC (Automated),0
2019,India,Maharashtra,Klebsiella pneumoniae,Meropenem,39.8,97,243,Sputum,21-40,50,E-test,0
2018,Usa,California,Staphylococcus aureus,Ciprofloxacin,36.4,111,306,CSF,21-40,55,Disk Diffusion,0
2021,Usa,California,Pseudomonas aeruginosa,Meropenem,32.8,44,134,Sputum,21-40,50,Broth Microdilution,0
2018,Uk,Wales,Klebsiella pneumoniae,Amikacin,11.7,24,206,Urine,21-40,45,Disk Diffusion,0
2015,Uk,Scotland,Klebsiella pneumoniae,Ciprofloxacin,36.0,48,133,Urine,0-10,45,MIC (Automated),0
2024,India,Delhi,Staphylococcus aureus,Ciprofloxacin,49.2,124,252,Wound,41-60,45,Disk Diffusion,0
2020,India,Delhi,E.coli,Ciprofloxacin,38.1,68,179,Wound,0-10,55,Disk Diffusion,0
2018,Usa,New York,Staphylococcus aureus,Amikacin,18.3,19,106,Wound,41-60,45,Disk Diffusion,0
2024,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,41.3,50,120,Blood,Nov-20,45,Broth Microdilution,0
2018,Usa,Florida,Pseudomonas aeruginosa,Oxacillin,41.5,113,272,Urine,0-10,50,Broth Microdilution,0
2015,Usa,Florida,Pseudomonas aeruginosa,Ciprofloxacin,26.7,56,208,Urine,0-10,45,Broth Microdilution,0
2020,India,Tamil Nadu,E.coli,Meropenem,30.4,57,186,Blood,Nov-20,45,Disk Diffusion,0
2019,Uk,Northern Ireland,E.coli,Meropenem,24.4,37,153,CSF,60+,45,MIC (Automated),0
2019,Usa,California,Klebsiella pneumoniae,Oxacillin,34.2,61,177,Blood,0-10,55,Broth Microdilution,0
2017,Usa,Texas,Pseudomonas aeruginosa,Ciprofloxacin,29.9,34,113,Wound,Nov-20,50,Broth Microdilution,0
2018,India,Maharashtra,E.coli,Oxacillin,26.7,72,268,Urine,41-60,55,E-test,0
2015,India,Delhi,Pseudomonas aeruginosa,Ciprofloxacin,34.3,89,259,CSF,41-60,45,E-test,0
2018,India,Kerala,Staphylococcus aureus,Amikacin,26.0,50,192,Urine,21-40,55,E-test,0
2018,India,Kerala,E.coli,Meropenem,30.9,76,245,CSF,41-60,45,MIC (Automated),0
2020,India,Kerala,Pseudomonas aeruginosa,Ciprofloxacin,51.0,131,257,Sputum,Nov-20,50,E-test,1
2020,Usa,Florida,E.coli,Ciprofloxacin,28.6,36,127,Urine,41-60,45,Broth Microdilution,0
2021,Usa,New York,Pseudomonas aeruginosa,Oxacillin,47.0,14,30,Blood,60+,45,Broth Microdilution,0
2021,Uk,Wales,Staphylococcus aureus,Oxacillin,36.1,68,187,Urine,0-10,55,E-test,0
2021,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,37.4,125,334,Urine,0-10,55,MIC (Automated),0
2018,India,Tamil Nadu,E.coli,Ciprofloxacin,38.1,62,162,CSF,41-60,45,Disk Diffusion,0
2017,Usa,New York,Pseudomonas aeruginosa,Meropenem,23.4,45,191,Blood,21-40,55,Disk Diffusion,0
2018,Uk,Scotland,Klebsiella pneumoniae,Meropenem,29.8,89,298,Urine,21-40,50,MIC (Automated),0
2022,India,Delhi,Pseudomonas aeruginosa,Meropenem,39.4,28,70,CSF,60+,55,Broth Microdilution,0
2016,India,Delhi,E.coli,Ciprofloxacin,36.5,72,197,Blood,21-40,50,Broth Microdilution,0
2020,India,Tamil Nadu,E.coli,Ciprofloxacin,33.9,21,62,Urine,60+,55,Disk Diffusion,0
2017,India,Maharashtra,Klebsiella pneumoniae,Meropenem,33.7,72,214,Sputum,Nov-20,55,Broth Microdilution,0
2023,Uk,England,E.coli,Oxacillin,27.3,36,133,CSF,41-60,50,Broth Microdilution,0
2022,India,Kerala,Klebsiella pneumoniae,Meropenem,38.1,121,318,Blood,21-40,45,E-test,0
2023,India,Maharashtra,Klebsiella pneumoniae,Meropenem,42.3,103,244,Wound,41-60,45,Broth Microdilution,0
2024,India,Tamil Nadu,E.coli,Oxacillin,44.0,77,175,Sputum,0-10,45,E-test,0
2017,India,Kerala,Klebsiella pneumoniae,Meropenem,39.4,30,77,Wound,41-60,50,Disk Diffusion,0
2017,India,Maharashtra,Staphylococcus aureus,Ciprofloxacin,34.3,115,336,Sputum,0-10,55,MIC (Automated),0
2023,Usa,Texas,Staphylococcus aureus,Amikacin,16.5,46,276,Blood,21-40,45,Disk Diffusion,0
2023,Uk,Northern Ireland,E.coli,Meropenem,33.7,86,255,Sputum,21-40,55,MIC (Automated),0
2021,India,Tamil Nadu,Pseudomonas aeruginosa,Amikacin,35.0,26,73,Sputum,21-40,45,Broth Microdilution,0
2022,Uk,Scotland,Pseudomonas aeruginosa,Meropenem,36.7,97,265,CSF,0-10,45,Broth Microdilution,0
2021,Uk,Wales,Staphylococcus aureus,Ciprofloxacin,39.0,108,278,Blood,60+,45,MIC (Automated),0
2024,Uk,Northern Ireland,E.coli,Amikacin,28.8,59,206,CSF,0-10,55,Broth Microdilution,0
2021,Usa,Texas,Pseudomonas aeruginosa,Meropenem,24.3,51,208,Urine,0-10,55,E-test,0
2024,Usa,Texas,E.coli,Meropenem,43.1,94,218,Urine,60+,55,MIC (Automated),0
2020,India,Delhi,Pseudomonas aeruginosa,Ciprofloxacin,43.4,56,130,Sputum,0-10,50,Disk Diffusion,0
2017,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,37.8,86,228,Urine,41-60,55,E-test,0
2018,Usa,New York,Staphylococcus aureus,Ciprofloxacin,19.7,49,251,Blood,21-40,45,MIC (Automated),0
2017,Uk,England,Staphylococcus aureus,Ciprofloxacin,37.9,109,288,CSF,41-60,45,Broth Microdilution,0
2022,Usa,New York,Pseudomonas aeruginosa,Meropenem,29.1,57,197,Urine,60+,55,Broth Microdilution,0
2018,Uk,Wales,Pseudomonas aeruginosa,Oxacillin,31.6,62,195,CSF,Nov-20,50,E-test,0
2016,India,Kerala,Staphylococcus aureus,Meropenem,20.9,60,288,Wound,60+,50,Broth Microdilution,0
2019,Uk,Wales,Staphylococcus aureus,Amikacin,16.8,12,74,Urine,21-40,45,Disk Diffusion,0
2024,Uk,Northern Ireland,Pseudomonas aeruginosa,Ciprofloxacin,41.0,49,120,Urine,0-10,55,E-test,0
2016,Usa,California,E.coli,Meropenem,23.7,72,305,Urine,60+,45,Broth Microdilution,0
2021,India,Delhi,Staphylococcus aureus,Oxacillin,41.5,111,268,Wound,60+,45,Broth Microdilution,0
2016,Uk,Northern Ireland,E.coli,Meropenem,24.3,39,160,CSF,41-60,45,MIC (Automated),0
2021,India,Delhi,Klebsiella pneumoniae,Amikacin,35.2,89,254,Urine,41-60,55,Broth Microdilution,0
2024,Uk,England,Pseudomonas aeruginosa,Amikacin,29.8,40,133,Wound,0-10,55,MIC (Automated),0
2022,Uk,Northern Ireland,E.coli,Meropenem,29.1,19,67,Blood,41-60,45,Broth Microdilution,0
2019,India,Maharashtra,Pseudomonas aeruginosa,Oxacillin,33.6,94,279,Wound,Nov-20,45,Broth Microdilution,0
2015,Uk,Wales,Klebsiella pneumoniae,Oxacillin,25.1,84,335,Urine,21-40,45,Disk Diffusion,0
2017,India,Delhi,Pseudomonas aeruginosa,Ciprofloxacin,22.5,36,162,CSF,0-10,55,Disk Diffusion,0
2021,Uk,England,Klebsiella pneumoniae,Ciprofloxacin,38.3,121,315,Wound,Nov-20,50,Broth Microdilution,0
2024,India,Maharashtra,Pseudomonas aeruginosa,Oxacillin,44.1,117,265,Blood,41-60,50,E-test,0
2016,India,Maharashtra,Pseudomonas aeruginosa,Ciprofloxacin,29.7,53,178,Wound,0-10,55,Broth Microdilution,0
2016,Usa,California,Klebsiella pneumoniae,Amikacin,22.5,16,70,Sputum,21-40,50,E-test,0
2015,Usa,Florida,Klebsiella pneumoniae,Ciprofloxacin,27.9,99,355,Blood,41-60,45,Disk Diffusion,0
2021,Uk,Scotland,E.coli,Ciprofloxacin,30.3,54,177,Blood,Nov-20,55,Disk Diffusion,0
2019,India,Delhi,Staphylococcus aureus,Meropenem,38.0,62,162,CSF,21-40,50,Disk Diffusion,0
2018,India,Kerala,Klebsiella pneumoniae,Oxacillin,32.5,66,203,CSF,41-60,55,Broth Microdilution,0
2019,India,Kerala,Staphylococcus aureus,Oxacillin,28.4,74,262,Wound,60+,45,MIC (Automated),0
2018,Uk,Northern Ireland,Pseudomonas aeruginosa,Ciprofloxacin,30.5,100,328,Wound,41-60,50,Broth Microdilution,0
2023,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,37.2,110,297,Blood,Nov-20,50,Disk Diffusion,0
